Province_State,Total_Confirmed_Cases
Alabama,872756073
Alaska,153011898
American Samoa,2608837
Arizona,1330372436
Arkansas,549955573
California,6166190335
Colorado,922394521
Connecticut,507631287
Delaware,171886464
Diamond Princess,53306
District of Columbia,90279276
Florida,3978357707
Georgia,1698658727
Grand Princess,111231
Guam,27172745
Hawaii,153864444
Idaho,292218765
Illinois,2122240785
Indiana,1123252371
Iowa,520990808
Kansas,503378071
Kentucky,844738885
Louisiana,827336792
Maine,143770501
Maryland,704076983
Massachusetts,1133764968
Michigan,1561076712
Minnesota,941058065
Mississippi,531428221
Missouri,957391365
Montana,178169518
Nebraska,319710682
Nevada,488235227
New Hampshire,184973185
New Jersey,1536872925
New Mexico,341840961
New York,3392006819
North Carolina,1726912452
North Dakota,161407970
Northern Mariana Islands,5153291
Ohio,1765525036
Oklahoma,690635691
Oregon,450276185
Pennsylvania,1836846159
Puerto Rico,400801041
Rhode Island,237785076
South Carolina,962485826
South Dakota,163635868
Tennessee,1350593871
Texas,4566537657
Utah,610617473
Vermont,68003350
Virgin Islands,10749871
Virginia,1127963803
Washington,924913618
West Virginia,312093419
Wisconsin,1065102633
Wyoming,101470234
