Province_State,Total_Deaths
Alabama,13398261
Alaska,751555
American Samoa,10804
Arizona,20789702
Arkansas,7721989
California,65490302
Colorado,8942186
Connecticut,8911110
Delaware,2089142
Diamond Princess,0
District of Columbia,1140001
Florida,51475342
Georgia,26228841
Grand Princess,3209
Guam,232819
Hawaii,922359
Idaho,3184340
Illinois,28240376
Indiana,16571222
Iowa,6801602
Kansas,6010896
Kentucky,9906514
Louisiana,12995598
Maine,1420548
Maryland,10814209
Massachusetts,16471102
Michigan,25546398
Minnesota,9098311
Mississippi,8912386
Missouri,13333128
Montana,2192341
Nebraska,2894293
Nevada,7248953
New Hampshire,1734980
New Jersey,28101090
New Mexico,5263145
New York,58121236
North Carolina,16746947
North Dakota,1670390
Northern Mariana Islands,16895
Ohio,26072614
Oklahoma,9954884
Oregon,4727836
Pennsylvania,31912144
Puerto Rico,3143166
Rhode Island,2820118
South Carolina,12198207
South Dakota,2112228
Tennessee,16954495
Texas,61302166
Utah,3120149
Vermont,421227
Virgin Islands,71105
Virginia,13755116
Washington,8680526
West Virginia,4306523
Wisconsin,9781470
Wyoming,1136735
